num,lm,Bone,type,Name,Description,Position,full_model,braincase
274,2,parietal,curve,C13.Parietal-1,C13.ant_med_post_med_par,m,4,1
275,3,parietal,curve,C13.Parietal-2,C13.ant_med_post_med_par,m,4,1
276,4,parietal,curve,C13.Parietal-3,C13.ant_med_post_med_par,m,4,1
277,5,parietal,curve,C13.Parietal-4,C13.ant_med_post_med_par,m,4,1
278,6,parietal,curve,C13.Parietal-5,C13.ant_med_post_med_par,m,4,1
279,7,parietal,curve,C13.Parietal-6,C13.ant_med_post_med_par,m,4,1
280,8,parietal,curve,C13.Parietal-7,C13.ant_med_post_med_par,m,4,1
281,9,parietal,curve,C13.Parietal-8,C13.ant_med_post_med_par,m,4,1
282,10,parietal,curve,C13.Parietal-9,C13.ant_med_post_med_par,m,4,1
283,1,parietal,curve,C14.Parietal-0,C14.post_med_post_lat_par,l,4,1
284,2,parietal,curve,C14.Parietal-1,C14.post_med_post_lat_par,l,4,1
285,3,parietal,curve,C14.Parietal-2,C14.post_med_post_lat_par,l,4,1
286,4,parietal,curve,C14.Parietal-3,C14.post_med_post_lat_par,l,4,1
287,5,parietal,curve,C14.Parietal-4,C14.post_med_post_lat_par,l,4,1
288,6,parietal,curve,C14.Parietal-5,C14.post_med_post_lat_par,l,4,1
289,7,parietal,curve,C14.Parietal-6,C14.post_med_post_lat_par,l,4,1
290,8,parietal,curve,C14.Parietal-7,C14.post_med_post_lat_par,l,4,1
291,9,parietal,curve,C14.Parietal-8,C14.post_med_post_lat_par,l,4,1
292,10,parietal,curve,C14.Parietal-9,C14.post_med_post_lat_par,l,4,1
293,1,parietal,curve,C15.Parietal-0,C15.post_lat_ant_lat_par,l,4,1
294,2,parietal,curve,C15.Parietal-1,C15.post_lat_ant_lat_par,l,4,1
295,3,parietal,curve,C15.Parietal-2,C15.post_lat_ant_lat_par,l,4,1
296,4,parietal,curve,C15.Parietal-3,C15.post_lat_ant_lat_par,l,4,1
297,5,parietal,curve,C15.Parietal-4,C15.post_lat_ant_lat_par,l,4,1
298,6,parietal,curve,C15.Parietal-5,C15.post_lat_ant_lat_par,l,4,1
299,7,parietal,curve,C15.Parietal-6,C15.post_lat_ant_lat_par,l,4,1
300,8,parietal,curve,C15.Parietal-7,C15.post_lat_ant_lat_par,l,4,1
301,9,parietal,curve,C15.Parietal-8,C15.post_lat_ant_lat_par,l,4,1
302,10,parietal,curve,C15.Parietal-9,C15.post_lat_ant_lat_par,l,4,1
303,1,parietal,curve,C16.Parietal-0,C16.ant_lat_ant_med_par,l,4,1
304,2,parietal,curve,C16.Parietal-1,C16.ant_lat_ant_med_par,l,4,1
305,3,parietal,curve,C16.Parietal-2,C16.ant_lat_ant_med_par,l,4,1
306,4,parietal,curve,C16.Parietal-3,C16.ant_lat_ant_med_par,l,4,1
307,5,parietal,curve,C16.Parietal-4,C16.ant_lat_ant_med_par,l,4,1
308,6,parietal,curve,C16.Parietal-5,C16.ant_lat_ant_med_par,l,4,1
309,7,parietal,curve,C16.Parietal-6,C16.ant_lat_ant_med_par,l,4,1
310,8,parietal,curve,C16.Parietal-7,C16.ant_lat_ant_med_par,l,4,1
311,9,parietal,curve,C16.Parietal-8,C16.ant_lat_ant_med_par,l,4,1
312,10,parietal,curve,C16.Parietal-9,C16.ant_lat_ant_med_par,l,4,1
313,1,supraoccipital,curve,C17.Supraoccipital-0,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
314,2,supraoccipital,curve,C17.Supraoccipital-1,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
315,3,supraoccipital,curve,C17.Supraoccipital-2,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
316,4,supraoccipital,curve,C17.Supraoccipital-3,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
317,5,supraoccipital,curve,C17.Supraoccipital-4,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
318,6,supraoccipital,curve,C17.Supraoccipital-5,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
319,7,supraoccipital,curve,C17.Supraoccipital-6,C17.dors_med_supraocc_dors_med_for_mag_supraocc,m,5,1
